user_id,cluster,segment,total_orders,avg_order_size,reorder_rate,avg_days_between_orders,unique_departments,product_diversity,avg_cart_position
53702,1,Loyal Regulars,63,10.67,0.8318,5.76,15,0.1682,6.63
170667,0,Occasional Buyers,8,1.5,0.5,12.86,4,0.5,1.42
118532,0,Occasional Buyers,11,15.18,0.3174,11.4,12,0.6826,9.06
194202,0,Occasional Buyers,3,11.33,0.3235,25.5,9,0.6765,6.24
187455,1,Loyal Regulars,17,13.47,0.6114,14.38,16,0.3886,8.21
13131,1,Loyal Regulars,88,18.18,0.75,4.14,17,0.25,11.38
112460,0,Occasional Buyers,3,14.33,0.1163,25.0,12,0.8837,8.05
51578,0,Occasional Buyers,3,16.67,0.3,30.0,10,0.7,9.32
37301,0,Occasional Buyers,5,3.2,0.3125,10.75,4,0.6875,2.44
28328,1,Loyal Regulars,6,21.33,0.5234,10.4,11,0.4766,11.55
122019,1,Loyal Regulars,12,9.42,0.5664,12.91,13,0.4336,6.06
75527,0,Occasional Buyers,8,1.88,0.3333,21.86,5,0.6667,1.53
16354,1,Loyal Regulars,6,14.33,0.5698,18.4,11,0.4302,8.03
75779,1,Loyal Regulars,40,15.5,0.8694,8.95,11,0.1306,8.61
149720,0,Occasional Buyers,4,7.0,0.0714,25.0,6,0.9286,4.32
126360,0,Occasional Buyers,3,11.0,0.1818,4.5,10,0.8182,6.39
168326,0,Occasional Buyers,4,12.25,0.102,13.67,13,0.898,6.96
92090,1,Loyal Regulars,19,4.32,0.6707,6.56,10,0.3293,3.49
36449,0,Occasional Buyers,13,6.46,0.3929,15.75,12,0.6071,4.69
112585,1,Loyal Regulars,14,8.71,0.6639,9.38,10,0.3361,5.5
193107,0,Occasional Buyers,3,15.33,0.0217,30.0,15,0.9783,8.39
94506,1,Loyal Regulars,17,9.82,0.4192,13.19,14,0.5808,6.72
51101,0,Occasional Buyers,6,14.33,0.3721,13.2,10,0.6279,9.26
73654,1,Loyal Regulars,62,4.63,0.5157,5.7,17,0.4843,4.55
64583,1,Loyal Regulars,7,11.0,0.5714,12.17,8,0.4286,6.42
69026,0,Occasional Buyers,4,10.25,0.2195,21.33,9,0.7805,6.54
194398,0,Occasional Buyers,3,4.33,0.2308,17.5,4,0.7692,2.77
169714,0,Occasional Buyers,10,8.0,0.5,20.56,6,0.5,5.25
33825,0,Occasional Buyers,25,5.36,0.4627,13.75,9,0.5373,3.45
10654,0,Occasional Buyers,3,6.67,0.1,28.5,7,0.9,4.7
2957,0,Occasional Buyers,6,3.33,0.3,24.2,6,0.7,2.5
193858,1,Loyal Regulars,31,11.77,0.7014,11.7,16,0.2986,6.97
188365,0,Occasional Buyers,5,8.8,0.1591,13.75,11,0.8409,6.09
180311,1,Loyal Regulars,6,24.67,0.3919,14.8,13,0.6081,13.49
28497,1,Loyal Regulars,43,11.84,0.7564,8.14,16,0.2436,8.57
38750,0,Occasional Buyers,3,8.67,0.0385,30.0,12,0.9615,9.23
58806,1,Loyal Regulars,10,14.1,0.4752,14.11,14,0.5248,8.45
142818,0,Occasional Buyers,3,7.0,0.2857,25.0,6,0.7143,4.57
286,0,Occasional Buyers,3,8.67,0.0,9.5,12,1.0,5.23
41315,0,Occasional Buyers,5,10.8,0.2963,26.25,9,0.7037,6.33
86626,0,Occasional Buyers,3,8.0,0.1667,30.0,12,0.8333,4.62
62123,1,Loyal Regulars,14,11.21,0.5605,6.23,14,0.4395,7.21
166390,1,Loyal Regulars,20,20.4,0.7623,11.84,12,0.2377,11.82
44412,0,Occasional Buyers,4,9.75,0.2821,20.0,11,0.7179,5.41
73408,0,Occasional Buyers,5,3.2,0.25,19.0,1,0.75,2.5
118384,1,Loyal Regulars,11,13.55,0.3154,3.0,14,0.6846,10.52
89713,1,Loyal Regulars,27,8.78,0.6498,7.62,15,0.3502,6.22
204874,1,Loyal Regulars,15,15.07,0.6372,18.43,15,0.3628,8.35
68065,1,Loyal Regulars,61,12.34,0.7198,5.87,13,0.2802,7.61
48610,1,Loyal Regulars,39,7.23,0.6454,8.08,15,0.3546,5.14
199381,1,Loyal Regulars,45,12.47,0.7077,7.98,15,0.2923,9.99
198115,1,Loyal Regulars,17,8.53,0.6483,14.12,10,0.3517,5.01
173016,0,Occasional Buyers,7,5.71,0.55,10.5,9,0.45,3.68
43255,1,Loyal Regulars,16,6.94,0.4054,10.27,16,0.5946,4.98
148031,0,Occasional Buyers,5,2.0,0.6,29.5,2,0.4,1.6
115380,0,Occasional Buyers,5,14.6,0.1918,10.5,15,0.8082,9.07
21028,1,Loyal Regulars,15,22.53,0.6834,16.64,15,0.3166,12.82
3427,0,Occasional Buyers,9,15.67,0.3191,13.25,14,0.6809,9.4
52939,1,Loyal Regulars,51,17.22,0.7096,6.94,17,0.2904,10.91
148745,0,Occasional Buyers,10,6.1,0.5574,22.11,6,0.4426,4.61
129721,0,Occasional Buyers,4,18.0,0.2639,19.33,13,0.7361,9.76
199798,1,Loyal Regulars,25,32.72,0.6956,14.58,15,0.3044,18.88
102177,0,Occasional Buyers,3,9.33,0.2857,26.0,10,0.7143,6.04
188905,1,Loyal Regulars,19,15.89,0.4768,11.06,16,0.5232,11.4
70771,0,Occasional Buyers,6,9.0,0.4815,17.8,7,0.5185,5.87
192720,0,Occasional Buyers,5,8.4,0.2381,18.0,7,0.7619,5.19
139689,0,Occasional Buyers,12,7.5,0.3,16.27,13,0.7,5.02
159964,0,Occasional Buyers,5,9.4,0.2553,15.75,12,0.7447,6.43
94291,1,Loyal Regulars,15,23.67,0.4761,18.71,12,0.5239,17.86
33403,0,Occasional Buyers,8,8.25,0.4394,18.0,10,0.5606,5.12
25583,0,Occasional Buyers,9,8.0,0.4583,23.0,12,0.5417,5.22
160939,0,Occasional Buyers,6,5.0,0.2667,19.2,9,0.7333,5.43
175861,0,Occasional Buyers,15,7.07,0.3113,13.21,17,0.6887,4.43
114712,0,Occasional Buyers,3,6.67,0.05,26.5,12,0.95,4.45
52353,0,Occasional Buyers,9,2.11,0.3158,22.5,7,0.6842,1.95
45980,0,Occasional Buyers,6,4.33,0.5769,19.2,5,0.4231,3.23
185123,0,Occasional Buyers,15,5.8,0.2874,14.93,13,0.7126,4.13
138399,1,Loyal Regulars,56,12.64,0.6935,5.98,17,0.3065,7.83
62197,1,Loyal Regulars,15,11.67,0.5314,11.5,12,0.4686,6.85
41080,1,Loyal Regulars,17,12.41,0.5261,6.75,15,0.4739,7.08
186043,1,Loyal Regulars,12,19.08,0.3493,10.64,16,0.6507,10.94
184695,1,Loyal Regulars,17,25.82,0.4442,19.12,16,0.5558,14.79
10197,0,Occasional Buyers,7,6.57,0.1522,18.33,13,0.8478,4.2
78257,0,Occasional Buyers,3,21.0,0.1587,30.0,11,0.8413,11.19
81831,0,Occasional Buyers,8,8.25,0.4394,9.71,11,0.5606,5.95
91084,0,Occasional Buyers,6,3.33,0.7,14.0,4,0.3,2.2
20535,1,Loyal Regulars,40,4.58,0.7541,9.0,11,0.2459,3.31
28842,0,Occasional Buyers,10,7.6,0.4737,12.33,11,0.5263,5.63
30934,0,Occasional Buyers,6,3.17,0.0,8.4,5,1.0,3.37
59969,1,Loyal Regulars,23,9.87,0.674,8.91,15,0.326,6.41
29725,0,Occasional Buyers,6,4.5,0.1481,25.0,8,0.8519,2.93
61181,0,Occasional Buyers,3,8.0,0.5,9.0,3,0.5,4.54
40862,0,Occasional Buyers,6,11.33,0.6471,26.8,5,0.3529,6.43
101936,0,Occasional Buyers,3,4.67,0.1429,7.5,6,0.8571,2.93
158785,0,Occasional Buyers,3,6.33,0.1053,24.0,5,0.8947,3.79
175922,1,Loyal Regulars,13,6.23,0.7037,11.33,9,0.2963,4.17
184480,0,Occasional Buyers,5,6.2,0.1613,2.75,11,0.8387,3.9
78205,0,Occasional Buyers,3,4.33,0.3846,13.5,4,0.6154,3.0
114842,1,Loyal Regulars,15,8.2,0.5285,14.21,13,0.4715,5.67
80548,0,Occasional Buyers,5,6.6,0.2121,27.5,6,0.7879,4.3
44422,1,Loyal Regulars,18,9.89,0.4101,7.06,14,0.5899,7.29
18235,0,Occasional Buyers,3,14.0,0.2619,6.0,12,0.7381,10.45
163747,0,Occasional Buyers,5,2.4,0.3333,30.0,5,0.6667,1.83
161700,0,Occasional Buyers,12,1.58,0.5789,14.18,4,0.4211,1.58
149832,1,Loyal Regulars,27,6.26,0.7515,12.62,10,0.2485,4.33
98500,1,Loyal Regulars,35,3.8,0.7068,8.88,9,0.2932,3.17
197324,0,Occasional Buyers,17,8.88,0.3775,18.31,17,0.6225,5.54
73878,1,Loyal Regulars,40,11.85,0.7173,7.87,16,0.2827,7.59
64303,1,Loyal Regulars,8,20.12,0.5404,11.29,14,0.4596,13.55
191895,0,Occasional Buyers,3,18.0,0.3333,17.5,12,0.6667,9.74
124503,0,Occasional Buyers,3,11.67,0.0857,21.5,11,0.9143,7.54
35660,0,Occasional Buyers,5,3.4,0.2941,18.25,7,0.7059,2.82
189752,1,Loyal Regulars,34,4.74,0.6832,7.64,14,0.3168,3.7
73251,0,Occasional Buyers,3,10.0,0.0333,17.5,8,0.9667,10.53
182406,1,Loyal Regulars,13,16.15,0.6476,20.33,12,0.3524,9.55
188798,0,Occasional Buyers,4,14.75,0.1017,30.0,10,0.8983,10.41
39480,0,Occasional Buyers,5,5.8,0.2759,10.75,9,0.7241,4.03
200343,0,Occasional Buyers,3,10.67,0.0312,6.5,9,0.9688,6.09
120255,0,Occasional Buyers,7,8.86,0.4032,20.67,9,0.5968,6.77
126016,0,Occasional Buyers,5,26.0,0.3385,24.25,11,0.6615,13.65
181399,0,Occasional Buyers,3,8.0,0.0417,18.5,5,0.9583,5.29
30631,0,Occasional Buyers,8,6.88,0.3455,8.57,13,0.6545,4.22
29281,0,Occasional Buyers,11,12.09,0.1278,3.3,14,0.8722,8.86
151508,0,Occasional Buyers,6,8.33,0.08,8.8,14,0.92,6.54
91663,0,Occasional Buyers,3,7.0,0.1429,30.0,9,0.8571,4.33
11360,0,Occasional Buyers,6,2.67,0.125,13.0,9,0.875,3.0
112406,1,Loyal Regulars,12,9.92,0.5798,21.55,12,0.4202,6.15
83171,1,Loyal Regulars,36,14.25,0.8051,8.14,12,0.1949,8.46
13498,0,Occasional Buyers,6,6.33,0.2632,4.6,7,0.7368,4.71
78049,1,Loyal Regulars,16,22.88,0.5464,15.33,17,0.4536,12.6
70297,1,Loyal Regulars,8,20.0,0.525,14.0,15,0.475,10.91
97235,0,Occasional Buyers,6,10.17,0.2787,25.0,13,0.7213,6.62
185761,0,Occasional Buyers,3,6.33,0.0526,25.5,6,0.9474,6.11
158124,1,Loyal Regulars,5,18.4,0.5652,20.25,11,0.4348,11.27
179389,0,Occasional Buyers,7,11.86,0.2651,20.83,14,0.7349,8.19
170091,1,Loyal Regulars,11,15.55,0.6374,18.4,16,0.3626,8.67
137307,0,Occasional Buyers,3,4.0,0.1667,5.0,6,0.8333,3.08
50954,0,Occasional Buyers,4,3.0,0.3333,26.0,4,0.6667,2.92
51710,1,Loyal Regulars,24,2.79,0.6269,12.7,8,0.3731,2.3
131514,1,Loyal Regulars,11,18.09,0.7286,21.7,13,0.2714,10.08
174910,0,Occasional Buyers,7,8.71,0.3443,19.67,11,0.6557,5.69
126215,0,Occasional Buyers,3,5.33,0.125,24.0,5,0.875,3.5
154320,0,Occasional Buyers,3,5.33,0.0,29.5,10,1.0,4.19
180484,0,Occasional Buyers,6,10.83,0.3385,13.2,10,0.6615,7.0
2864,0,Occasional Buyers,5,6.8,0.3529,25.75,9,0.6471,4.03
195447,0,Occasional Buyers,9,1.44,0.3846,24.75,6,0.6154,1.31
192820,0,Occasional Buyers,6,4.5,0.1111,20.0,10,0.8889,3.3
157716,1,Loyal Regulars,9,19.56,0.5739,17.12,13,0.4261,12.69
42573,1,Loyal Regulars,9,15.56,0.6071,9.38,13,0.3929,8.85
194072,1,Loyal Regulars,34,9.24,0.535,7.52,18,0.465,6.09
40599,1,Loyal Regulars,30,1.7,0.8235,11.24,4,0.1765,1.9
175737,0,Occasional Buyers,9,9.11,0.4024,24.38,13,0.5976,8.74
38572,1,Loyal Regulars,14,4.21,0.7797,6.69,3,0.2203,3.69
197805,0,Occasional Buyers,6,6.33,0.1316,14.6,10,0.8684,5.66
94871,0,Occasional Buyers,4,3.25,0.2308,12.33,5,0.7692,2.92
175883,1,Loyal Regulars,7,11.57,0.4074,9.17,13,0.5926,6.8
45301,0,Occasional Buyers,4,18.25,0.0685,23.67,12,0.9315,11.49
5800,0,Occasional Buyers,3,6.33,0.1579,4.5,5,0.8421,4.0
196227,1,Loyal Regulars,40,13.02,0.618,8.72,18,0.382,8.58
185458,1,Loyal Regulars,5,21.8,0.4954,22.0,14,0.5046,11.6
55544,1,Loyal Regulars,4,36.0,0.5069,27.33,10,0.4931,19.42
118418,0,Occasional Buyers,3,7.67,0.2174,7.0,9,0.7826,4.39
111529,1,Loyal Regulars,26,10.62,0.808,13.44,7,0.192,6.9
181968,1,Loyal Regulars,13,17.46,0.7401,6.42,14,0.2599,9.31
135718,0,Occasional Buyers,7,2.43,0.3529,16.83,6,0.6471,1.88
37346,0,Occasional Buyers,8,7.12,0.1404,22.29,13,0.8596,4.93
96010,1,Loyal Regulars,43,13.37,0.6591,8.0,15,0.3409,8.02
174079,0,Occasional Buyers,15,1.33,0.2,6.86,6,0.8,1.3
102816,0,Occasional Buyers,6,11.5,0.4203,25.8,9,0.5797,6.45
1827,0,Occasional Buyers,3,11.67,0.3143,19.5,8,0.6857,6.97
38697,0,Occasional Buyers,12,6.5,0.3718,13.55,11,0.6282,6.73
137748,0,Occasional Buyers,6,11.0,0.2727,10.4,12,0.7273,7.11
18476,0,Occasional Buyers,8,11.12,0.2697,22.86,14,0.7303,7.66
193658,0,Occasional Buyers,28,3.29,0.5,10.41,9,0.5,2.67
187424,0,Occasional Buyers,5,6.2,0.3548,22.25,11,0.6452,3.97
190029,1,Loyal Regulars,31,10.1,0.7029,11.9,12,0.2971,5.95
189417,0,Occasional Buyers,7,1.86,0.3077,22.83,4,0.6923,1.77
164825,1,Loyal Regulars,24,27.54,0.649,12.39,16,0.351,16.67
83728,0,Occasional Buyers,11,6.36,0.4571,17.6,8,0.5429,3.96
79601,1,Loyal Regulars,23,7.7,0.4294,13.64,13,0.5706,5.15
39058,0,Occasional Buyers,14,10.14,0.3873,20.31,15,0.6127,6.54
204463,1,Loyal Regulars,47,2.64,0.8145,7.61,4,0.1855,2.58
30143,1,Loyal Regulars,33,8.85,0.4349,7.34,14,0.5651,5.93
182080,1,Loyal Regulars,26,3.85,0.69,2.0,6,0.31,2.72
99989,0,Occasional Buyers,10,8.4,0.5476,18.11,10,0.4524,5.61
177419,0,Occasional Buyers,21,6.86,0.2917,13.6,14,0.7083,4.77
190854,1,Loyal Regulars,36,16.19,0.7581,10.2,15,0.2419,10.15
154828,1,Loyal Regulars,35,19.4,0.7408,9.18,16,0.2592,11.68
197600,0,Occasional Buyers,7,1.57,0.6364,10.17,3,0.3636,1.45
192428,0,Occasional Buyers,3,16.0,0.2917,26.0,9,0.7083,9.31
193763,0,Occasional Buyers,3,3.33,0.1,30.0,7,0.9,2.7
84890,1,Loyal Regulars,33,5.15,0.6765,10.59,14,0.3235,4.35
47544,0,Occasional Buyers,4,2.0,0.5,30.0,3,0.5,1.62
131146,0,Occasional Buyers,9,9.78,0.4886,22.25,11,0.5114,5.72
144877,1,Loyal Regulars,17,7.94,0.5556,14.25,13,0.4444,4.68
137094,1,Loyal Regulars,19,7.05,0.6269,17.17,12,0.3731,4.66
153439,0,Occasional Buyers,4,11.25,0.0,16.0,6,1.0,15.22
35998,0,Occasional Buyers,18,3.78,0.4853,15.47,8,0.5147,4.85
128518,1,Loyal Regulars,10,8.0,0.5125,10.44,10,0.4875,6.48
183251,0,Occasional Buyers,5,1.8,0.6667,16.75,3,0.3333,1.44
150660,0,Occasional Buyers,4,5.25,0.1429,14.67,6,0.8571,3.29
1418,0,Occasional Buyers,11,6.91,0.3553,22.1,11,0.6447,6.01
113104,0,Occasional Buyers,3,15.33,0.1304,27.5,11,0.8696,8.39
8791,0,Occasional Buyers,5,10.4,0.3077,13.25,11,0.6923,6.69
139658,0,Occasional Buyers,3,4.0,0.0833,30.0,6,0.9167,2.58
121814,1,Loyal Regulars,24,9.21,0.5973,14.48,12,0.4027,5.77
88900,1,Loyal Regulars,75,8.81,0.6959,4.76,17,0.3041,5.77
53560,0,Occasional Buyers,3,4.33,0.0769,30.0,8,0.9231,4.0
198286,0,Occasional Buyers,6,8.83,0.3585,28.0,12,0.6415,7.25
185934,1,Loyal Regulars,43,9.88,0.7176,8.05,17,0.2824,6.17
135500,0,Occasional Buyers,7,7.86,0.2727,14.33,11,0.7273,5.13
97531,0,Occasional Buyers,6,17.0,0.1961,22.0,13,0.8039,12.28
12563,0,Occasional Buyers,4,23.0,0.1739,22.0,15,0.8261,12.14
189469,0,Occasional Buyers,8,9.88,0.2532,20.57,13,0.7468,6.63
185689,1,Loyal Regulars,25,11.32,0.6078,12.04,14,0.3922,7.08
167726,0,Occasional Buyers,3,11.33,0.0294,17.5,11,0.9706,6.32
15002,0,Occasional Buyers,6,5.5,0.2727,9.6,8,0.7273,3.42
21616,1,Loyal Regulars,24,13.88,0.6847,7.65,10,0.3153,8.72
57341,0,Occasional Buyers,4,5.25,0.0476,30.0,8,0.9524,4.76
162129,1,Loyal Regulars,55,4.4,0.8099,3.85,6,0.1901,2.97
74736,0,Occasional Buyers,5,4.8,0.2083,26.75,9,0.7917,3.04
15122,0,Occasional Buyers,3,13.0,0.1538,11.0,12,0.8462,7.31
152617,0,Occasional Buyers,8,5.88,0.383,19.14,10,0.617,4.51
105971,0,Occasional Buyers,17,9.71,0.303,13.0,14,0.697,7.02
11687,0,Occasional Buyers,10,9.8,0.4082,19.78,10,0.5918,5.68
116750,0,Occasional Buyers,10,14.0,0.3571,15.78,12,0.6429,9.9
99674,0,Occasional Buyers,5,6.6,0.3939,19.0,7,0.6061,4.42
22378,1,Loyal Regulars,6,26.0,0.2564,17.8,15,0.7436,15.04
12795,0,Occasional Buyers,3,6.67,0.35,9.0,3,0.65,3.85
51818,1,Loyal Regulars,12,10.33,0.5242,16.36,10,0.4758,7.87
18957,1,Loyal Regulars,34,5.76,0.5306,7.33,13,0.4694,4.1
106752,0,Occasional Buyers,3,8.33,0.0,17.5,6,1.0,5.68
106807,0,Occasional Buyers,3,2.67,0.0,30.0,7,1.0,1.88
8114,0,Occasional Buyers,6,7.67,0.4565,17.6,9,0.5435,6.46
66399,0,Occasional Buyers,15,6.13,0.3804,13.79,10,0.6196,4.63
151026,0,Occasional Buyers,3,12.67,0.1053,24.5,10,0.8947,8.0
174538,0,Occasional Buyers,5,2.8,0.4286,30.0,6,0.5714,2.57
83135,1,Loyal Regulars,18,15.44,0.554,18.94,17,0.446,9.31
194404,1,Loyal Regulars,11,11.55,0.5039,5.5,12,0.4961,7.04
101710,0,Occasional Buyers,3,9.33,0.5,11.0,5,0.5,5.5
113967,0,Occasional Buyers,3,9.33,0.1429,23.0,6,0.8571,6.11
69326,1,Loyal Regulars,15,7.67,0.4609,11.0,14,0.5391,5.06
109130,1,Loyal Regulars,8,15.12,0.5537,16.71,12,0.4463,8.92
122101,1,Loyal Regulars,48,11.12,0.7303,7.32,16,0.2697,7.57
139132,1,Loyal Regulars,8,6.62,0.566,4.71,9,0.434,4.55
101766,1,Loyal Regulars,4,17.75,0.4507,21.0,12,0.5493,10.89
47158,0,Occasional Buyers,13,2.92,0.2632,13.75,9,0.7368,2.37
13564,0,Occasional Buyers,10,10.9,0.2661,21.67,15,0.7339,7.55
187567,1,Loyal Regulars,16,12.06,0.3472,16.73,13,0.6528,12.28
82238,0,Occasional Buyers,8,10.0,0.3375,17.86,10,0.6625,7.15
168627,0,Occasional Buyers,3,12.67,0.1316,8.5,11,0.8684,9.11
97845,0,Occasional Buyers,10,3.4,0.4118,19.44,8,0.5882,2.56
38897,0,Occasional Buyers,12,1.33,0.75,23.91,2,0.25,1.25
55928,0,Occasional Buyers,4,5.5,0.5455,27.0,3,0.4545,3.36
76541,0,Occasional Buyers,5,12.6,0.3016,20.25,10,0.6984,8.16
158759,1,Loyal Regulars,28,9.96,0.4337,11.19,14,0.5663,7.09
194214,0,Occasional Buyers,3,7.33,0.0909,30.0,7,0.9091,4.73
43721,1,Loyal Regulars,29,3.66,0.6887,9.39,12,0.3113,3.03
107751,0,Occasional Buyers,10,12.3,0.2114,11.22,15,0.7886,7.9
163482,1,Loyal Regulars,11,20.45,0.6844,7.2,9,0.3156,11.2
161520,0,Occasional Buyers,14,3.79,0.6038,21.0,6,0.3962,3.34
85046,0,Occasional Buyers,3,3.33,0.2,22.0,6,0.8,2.2
139293,0,Occasional Buyers,9,7.33,0.2424,19.38,10,0.7576,6.77
44016,1,Loyal Regulars,8,14.62,0.5897,26.57,14,0.4103,9.3
76680,1,Loyal Regulars,33,15.91,0.7086,10.47,13,0.2914,9.77
158795,1,Loyal Regulars,14,18.21,0.4706,4.38,15,0.5294,11.71
78124,1,Loyal Regulars,20,9.5,0.7316,15.95,12,0.2684,6.36
86681,0,Occasional Buyers,4,9.0,0.2778,26.0,10,0.7222,5.22
191401,1,Loyal Regulars,49,3.55,0.7356,7.44,9,0.2644,2.7
79830,0,Occasional Buyers,4,1.5,0.3333,13.67,2,0.6667,1.33
155768,0,Occasional Buyers,10,9.0,0.3556,15.33,12,0.6444,6.01
96500,0,Occasional Buyers,9,3.22,0.5172,23.62,6,0.4828,2.38
25832,1,Loyal Regulars,28,12.21,0.6111,12.41,11,0.3889,7.19
74739,1,Loyal Regulars,47,14.28,0.839,7.46,11,0.161,9.29
144563,0,Occasional Buyers,17,5.41,0.2826,10.12,14,0.7174,6.16
204939,0,Occasional Buyers,10,5.2,0.4615,16.44,11,0.5385,4.23
199930,0,Occasional Buyers,3,9.67,0.2069,21.0,6,0.7931,5.52
138136,1,Loyal Regulars,25,5.72,0.5315,12.12,16,0.4685,5.92
4860,1,Loyal Regulars,35,12.49,0.6499,8.91,14,0.3501,9.03
47794,0,Occasional Buyers,4,5.5,0.1818,9.33,8,0.8182,3.55
166261,0,Occasional Buyers,6,4.0,0.2917,13.4,11,0.7083,3.5
96032,1,Loyal Regulars,28,5.21,0.5959,12.26,14,0.4041,3.66
189278,0,Occasional Buyers,18,2.61,0.383,18.59,10,0.617,2.09
124400,1,Loyal Regulars,43,9.07,0.6154,8.05,16,0.3846,6.95
157907,1,Loyal Regulars,43,10.72,0.6855,6.86,13,0.3145,6.55
85250,1,Loyal Regulars,6,41.5,0.506,22.8,15,0.494,22.76
99168,0,Occasional Buyers,4,11.0,0.0455,18.0,10,0.9545,7.39
159364,0,Occasional Buyers,5,6.4,0.6562,14.0,5,0.3438,3.84
153730,1,Loyal Regulars,45,12.49,0.5338,7.98,15,0.4662,7.48
48584,1,Loyal Regulars,14,12.64,0.678,22.54,12,0.322,7.29
175196,1,Loyal Regulars,16,8.81,0.6525,17.87,8,0.3475,5.3
137946,1,Loyal Regulars,35,8.4,0.4252,10.06,15,0.5748,5.44
137970,1,Loyal Regulars,16,10.12,0.358,6.2,15,0.642,6.36
23243,0,Occasional Buyers,10,5.2,0.2692,24.11,12,0.7308,3.63
173339,0,Occasional Buyers,4,8.25,0.0303,20.67,11,0.9697,5.55
133835,0,Occasional Buyers,3,8.67,0.0769,25.5,10,0.9231,5.0
48439,1,Loyal Regulars,28,15.32,0.8485,7.26,11,0.1515,8.42
155894,0,Occasional Buyers,5,1.4,0.7143,12.0,2,0.2857,1.29
120917,0,Occasional Buyers,7,2.86,0.6,26.0,5,0.4,2.3
23589,0,Occasional Buyers,3,11.0,0.4545,5.0,7,0.5455,7.45
28849,0,Occasional Buyers,4,9.0,0.2222,19.0,11,0.7778,6.06
118445,0,Occasional Buyers,4,16.75,0.2388,21.33,10,0.7612,10.03
89480,0,Occasional Buyers,3,9.33,0.0,30.0,9,1.0,6.39
146607,1,Loyal Regulars,14,9.64,0.4815,5.92,13,0.5185,6.43
60658,0,Occasional Buyers,4,10.0,0.25,7.67,9,0.75,5.68
117547,0,Occasional Buyers,10,4.7,0.1064,22.11,9,0.8936,4.0
100502,0,Occasional Buyers,7,7.29,0.5098,13.0,12,0.4902,4.86
43327,0,Occasional Buyers,15,4.07,0.541,19.5,8,0.459,2.89
168868,0,Occasional Buyers,11,6.55,0.0972,14.5,13,0.9028,5.57
27254,0,Occasional Buyers,3,18.0,0.2593,17.5,11,0.7407,10.07
178643,0,Occasional Buyers,7,11.29,0.1266,23.5,13,0.8734,6.35
172619,1,Loyal Regulars,28,4.86,0.5882,9.33,13,0.4118,3.17
189625,1,Loyal Regulars,40,2.92,0.4274,6.18,13,0.5726,2.79
32764,1,Loyal Regulars,31,2.87,0.6292,2.67,5,0.3708,2.26
137261,1,Loyal Regulars,17,13.82,0.6511,11.75,12,0.3489,8.0
185547,1,Loyal Regulars,39,8.44,0.7264,9.5,14,0.2736,5.9
65761,1,Loyal Regulars,29,9.52,0.6848,7.61,14,0.3152,7.16
83587,0,Occasional Buyers,3,13.67,0.1707,6.5,8,0.8293,9.15
91573,1,Loyal Regulars,80,6.02,0.6888,4.35,15,0.3112,4.42
197625,1,Loyal Regulars,11,12.73,0.4714,10.7,12,0.5286,7.64
49553,1,Loyal Regulars,19,7.79,0.5473,8.22,10,0.4527,7.48
